rebalanced_slabs,n_rebalanced_slabs,miss_ratio,throughput,n_alloc_failures,trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,monitor_interval,uuid,qps,wss,number_of_objects,file_name,memory_requirement,compulsory_miss_ratio_byte,max_req_size,max_obj_size,trace_file,time_span,purpose,min_req_size,number_of_req_GiB,cpu_requirement,download_path,category,compulsory_miss_ratio_req,number_of_obj_GiB,num_slab_classes,frequency_mean,min_obj_size,poolRebalanceIntervalSec,lru2qColdPct,thresholdMI,mhMovingAverageParam,mhMinDiff,rebalanceOnRecordAccess,countColdTailHitsOnly,rebalanceStrategy,rebalanceDiffRatio,lruRefreshSec,allocFactor,mhOnlyUpdateHitIfRebalance,minRequestsObserved,thresholdAI,minAllocSize,maxAllocSize,lamaMinThreshold,cacheSizeMB,lru2qHotPct,maxDecayInterval,mhMinDiffRatio,poolResizeIntervalSec,emrHigh,emrLow,moveOnSlabRelease,thresholdAD,thresholdMD,enableLookaside,onlySetIfMiss,replayGeneratorConfig,generator,numThreads,zstdTrace,repeatTraceReplay,compressed,numOps,ignoreLargeReq,repeatOpCount,timestampFactor,traceFileName,useTraceTimer,prepopulateCache,base_dir,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
29137,29137,0.08933853195110059,866162.4335680318,0,meta_202210_kv,1482478166,0.005,4,110,marginal-hits,LRU2Q,cold,50000,meta_202210_kv-2ce1a67c091b4b73bb8fc4610b0c601e,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,30.0,,0.3,,True,True,marginal-hits-old,,0,1.25,,,,72,4194304,,444,30.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.026014829684850818,0.03425464007811903,
210,210,0.07384867818687321,604982.921965343,0,meta_202210_kv,1482478166,0.005,4,110,marginal-hits-tuned,TINYLFU,,50000,meta_202210_kv-5fec4ee3710ee7d6b97c269ad20d79e4,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,False,0.3,2.0,,,marginal-hits-new,,0,1.25,True,50000.0,True,72,4194304,,444,,50000.0,0.0,0,0.95,0.5,False,False,True,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04902932782889971,0.0497444938423464,0.008307506499896741
29614,29614,0.08215618468676995,607957.9770132924,0,meta_202210_kv,1482478166,0.005,4,110,marginal-hits,TINYLFU,,50000,meta_202210_kv-1233a026d94b5a5c92eba1474f259d6b,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,0.3,,,,marginal-hits-old,,0,1.25,,,,72,4194304,,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04072182132900297,0.04143698734244966,
1473,1276,0.08012435442506206,44987.6183001242,260726,meta_202210_kv,1482478166,0.005,4,110,lama,TINYLFU,,1000000,meta_202210_kv-4230578d3bcdaca6ac3cac202140a0d9,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,,,,,lama,,0,1.25,,,,72,4194304,1e-05,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04275365159071086,0.04346881760415755,
256,256,0.08991192049704697,723781.2832570557,0,meta_202210_kv,1482478166,0.005,4,110,eviction-rate,TINYLFU,,50000,meta_202210_kv-3de33df1112cae455748a2914cd18f45,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,,,,,eviction-rate,0.1,0,1.25,,,,72,4194304,,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.03296608551872596,0.03368125153217265,
0,0,0.12287800601577292,692005.7159006495,0,meta_202210_kv,1482478166,0.005,4,110,free-mem,TINYLFU,,50000,meta_202210_kv-bb243c1211f061519ce4fdfe09be3a86,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,,,,,free-mem,,0,1.25,,,,72,4194304,,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.0007151660134466914,
18329,18329,0.12775074219878932,523701.8968495562,0,meta_202210_kv,1482478166,0.005,4,110,tail-age,TINYLFU,,50000,meta_202210_kv-0d0f76c34171147c0f795362400997ee,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,,,,,tail-age,0.25,0,1.25,,,,72,4194304,,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,-0.004872736183016396,-0.004157570169569705,
8326,8326,0.08089363995395261,772201.6492137812,0,meta_202210_kv,1482478166,0.005,4,110,hits,TINYLFU,,50000,meta_202210_kv-4d65e085bb119727cf58a0c5af8a59b8,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,,,,,hits,0.1,0,1.25,,,,72,4194304,,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.04198436606182031,0.042699532075267,
0,0,0.12287800601577292,746078.6386445842,0,meta_202210_kv,1482478166,0.005,4,110,disabled,TINYLFU,,50000,meta_202210_kv-df531fddbc092527f0a050c787e21921,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,666.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,,,,,,,disabled,,0,1.25,,,,72,4194304,,444,,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.0007151660134466914,
441,53,0.07383354474307988,74194.77321809149,0,meta_202210_kv,1482478166,0.01,4,220,lama,LRU,,1000000,meta_202210_kv-e69ddd7e4c9c5b92e5db2d0fa3eff2c0,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,1326.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,lama,,0,1.25,,,,72,4194304,1e-05,884,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.026116691556049537,0.026116691556049537,
711,711,0.07173555768915116,801997.6717551171,0,meta_202210_kv,1482478166,0.01,4,220,eviction-rate,LRU,,50000,meta_202210_kv-f2c7ef47569a06b66cb50e746be7128b,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,1326.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,eviction-rate,0.1,0,1.25,,,,72,4194304,,884,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.028214678609978255,0.028214678609978255,
0,0,0.09995023629912941,872899.5423625977,0,meta_202210_kv,1482478166,0.01,4,220,free-mem,LRU,,50000,meta_202210_kv-ee9d06c0c1b899f4895ed994f02b6266,3430.6936,85.63371957193017,48009053,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,1326.0,0.103,523288,523340,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,432122,efficiency,8,809.1686,2.5,metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,meta-kv,0.0324,83.3087,50,30.8791,60,1,0.0,,,,True,,free-mem,,0,1.25,,,,72,4194304,,884,100.0,,,0,,,False,,,True,False,{'ampFactor': 1},oracle-general-replay,1,True,False,True,1482478166,True,True,1,/mntData2/data/oracleReuse/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,True,True,work_dir_meta,0.0,0.0,
